,number,value,datetime_start,datetime_complete,duration,params_classifier,params_criterion,params_k_neighbors,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_replacement,params_sampling,params_sampling_strategy,state
0,0,0.6454343646851113,2026-01-09 14:28:16.930501,2026-01-09 14:28:21.317350,0 days 00:00:04.386849,dt,log_loss,6.0,10.0,50,90,,,over,0.6000000000000001,COMPLETE
1,1,0.6471917178740136,2026-01-09 14:28:21.318601,2026-01-09 14:29:04.285068,0 days 00:00:42.966467,rf,gini,5.0,,84,65,135.0,,over,0.7000000000000001,COMPLETE
2,2,0.6471390381055677,2026-01-09 14:29:04.285809,2026-01-09 14:30:05.501152,0 days 00:01:01.215343,rf,entropy,6.0,,86,65,190.0,,over,0.7000000000000001,COMPLETE
3,3,0.4712850237158142,2026-01-09 14:30:05.502059,2026-01-09 14:30:06.603805,0 days 00:00:01.101746,dt,entropy,,9.0,62,55,,,real,,COMPLETE
4,4,0.6152876205685445,2026-01-09 14:30:06.604611,2026-01-09 14:30:12.028458,0 days 00:00:05.423847,rf,log_loss,,,70,125,170.0,True,under,0.8,COMPLETE
5,5,0.4675474668069986,2026-01-09 14:30:12.029270,2026-01-09 14:30:12.480485,0 days 00:00:00.451215,dt,log_loss,,3.0,74,160,,,real,,COMPLETE
6,6,0.4709071443267638,2026-01-09 14:30:12.481307,2026-01-09 14:30:13.593576,0 days 00:00:01.112269,dt,log_loss,,9.0,88,60,,,real,,COMPLETE
7,7,0.635297029425672,2026-01-09 14:30:13.594624,2026-01-09 14:30:18.377763,0 days 00:00:04.783139,dt,entropy,4.0,10.0,98,50,,,over,0.8,COMPLETE
8,8,0.6348799248512319,2026-01-09 14:30:18.378695,2026-01-09 14:30:20.525584,0 days 00:00:02.146889,rf,entropy,,,96,100,55.0,False,under,0.6000000000000001,COMPLETE
9,9,0.6463153427804363,2026-01-09 14:30:20.527989,2026-01-09 14:30:24.295149,0 days 00:00:03.767160,dt,gini,3.0,8.0,80,115,,,over,0.7000000000000001,COMPLETE
